Time;Type;Volume;Symbol;Price;Volume;Time;Price;Commission;Swap;Profit
2025.11.25 01:14:00;Buy;0.01;XAUUSD;4128.49;0.01;2025.11.25 01:42:00;4134.57;-0.07;;6.08
2025.11.25 01:12:00;Buy;0.01;XAUUSD;4131.33;0.01;2025.11.25 01:42:00;4134.61;-0.07;;3.2800000000000002
2025.11.24 23:57:00;Buy;0.01;XAUUSD;4135.37;0.01;2025.11.25 01:42:00;4134.59;-0.07;-0.58;-0.78
2025.11.24 23:54:00;Buy;0.01;XAUUSD;4137.8;0.01;2025.11.25 01:42:00;4134.59;-0.07;-0.58;-3.21
2025.11.24 23:48:00;Buy;0.01;XAUUSD;4138.02;0.01;2025.11.24 23:50:00;4139.63;-0.07;;1.6099999999999999
2025.11.24 23:36:00;Buy;0.01;XAUUSD;4133.54;0.01;2025.11.24 23:43:00;4138.34;-0.07;;4.8
2025.11.24 23:18:00;Buy;0.01;XAUUSD;4132.36;0.01;2025.11.24 23:35:00;4133.17;-0.07;;0.81
2025.11.24 23:12:00;Buy;0.01;XAUUSD;4131.66;0.01;2025.11.24 23:16:00;4132.32;-0.07;;0.66
2025.11.24 23:05:00;Buy;0.01;XAUUSD;4130.51;0.01;2025.11.24 23:08:00;4132.37;-0.07;;1.8599999999999999
2025.11.24 23:00:00;Buy;0.01;XAUUSD;4132.79;0.01;2025.11.24 23:08:00;4132.37;-0.07;;-0.42
2025.11.24 22:49:00;Buy;0.01;XAUUSD;4129.2;0.01;2025.11.24 22:51:00;4131.45;-0.07;;2.25
2025.11.24 22:48:00;Buy;0.01;XAUUSD;4131.67;0.01;2025.11.24 22:51:00;4131.39;-0.07;;-0.28
2025.11.24 22:42:00;Buy;0.01;XAUUSD;4130.81;0.01;2025.11.24 22:45:00;4131.5;-0.07;;0.69
2025.11.24 22:36:00;Buy;0.01;XAUUSD;4130.71;0.01;2025.11.24 22:38:00;4133.04;-0.07;;2.33
2025.11.24 22:27:00;Buy;0.01;XAUUSD;4122.46;0.01;2025.11.24 22:30:00;4124.96;-0.07;;2.5
2025.11.24 22:24:00;Buy;0.01;XAUUSD;4124.8;0.01;2025.11.24 22:30:00;4125.01;-0.07;;0.21
2025.11.24 22:18:00;Buy;0.01;XAUUSD;4122.61;0.01;2025.11.24 22:19:00;4123.89;-0.07;;1.28
