Time;Type;Volume;Symbol;Price;S/L;T/P;Time;Price;Commission;Swap;Profit;Comment
2025.11.20 19:15:00;Buy;0.80;AUDCAD.i;0.90861;;0.90979;2025.11.20 20:12:41;0.90979;-5.60;;66.96;[tp]
2025.11.20 17:53:33;Sell;0.80;AUDCAD.i;0.91064;;0.90946;2025.11.20 18:41:43;0.90943;-5.60;;68.73;[tp]
2025.11.20 17:15:01;Sell;0.80;AUDCAD.i;0.91193;;0.91075;2025.11.20 17:53:32;0.91072;-5.60;;68.80;[tp]
2025.11.18 17:34:37;Buy;0.80;AUDCAD.i;0.90960;;0.91251;2025.11.20 15:38:12;0.91248;-5.60;4.05;164.09;[tp]
2025.11.18 01:00:00;Buy;0.80;AUDCAD.i;0.91318;;0.91250;2025.11.20 15:38:12;0.91249;-5.60;4.05;-39.31;[tp]
2025.11.17 22:30:00;Buy;0.80;AUDCAD.i;0.91139;;0.91258;2025.11.17 23:49:57;0.91260;-5.60;;68.87;[tp]
2025.11.14 20:38:06;Sell;0.80;AUDCAD.i;0.91667;;0.91550;2025.11.17 02:16:01;0.91546;-5.60;-3.51;69.00;[tp]
2025.11.14 18:15:00;Sell;0.80;AUDCAD.i;0.91797;;0.91678;2025.11.14 20:38:05;0.91676;-5.60;;69.01;[tp]
2025.11.14 13:15:00;Buy;0.80;AUDCAD.i;0.91386;;0.91704;2025.11.14 17:39:12;0.91703;-5.60;;180.72;[tp]
2025.11.13 16:00:00;Buy;0.80;AUDCAD.i;0.91789;;0.91704;2025.11.14 17:39:12;0.91704;-5.60;1.01;-48.46;[tp]
2025.11.13 04:00:00;Sell;0.80;AUDCAD.i;0.91851;;0.91734;2025.11.13 15:35:52;0.91732;-5.60;;67.97;[tp]
2025.11.06 01:15:00;Buy;0.80;AUDCAD.i;0.91785;;0.91902;2025.11.13 02:46:40;0.91907;-5.60;6.97;69.67;[tp]
2025.11.05 19:30:01;Sell;0.80;AUDCAD.i;0.91869;;0.91752;2025.11.05 23:01:21;0.91750;-5.60;;67.46;[tp]
2025.11.05 07:14:38;Sell;0.80;AUDCAD.i;0.91648;;0.91531;2025.11.05 12:03:45;0.91527;-5.60;;68.51;[tp]
2025.11.04 17:09:57;Buy;0.80;AUDCAD.i;0.91527;;0.91645;2025.11.05 07:14:37;0.91648;-5.60;0.91;68.61;[tp]
2025.11.04 12:15:00;Buy;0.70;AUDCAD.i;0.91402;;0.91519;2025.11.04 17:09:56;0.91518;-4.90;;57.65;[tp]
2025.11.03 07:45:00;Sell;0.70;AUDCAD.i;0.91894;;0.91468;2025.11.04 11:29:30;0.91467;-4.90;-3.04;212.48;[tp]
2025.10.27 03:45:03;Sell;0.70;AUDCAD.i;0.91332;;0.91468;2025.11.04 11:29:30;0.91467;-4.90;-23.13;-67.18;[tp]
2025.10.27 01:45:00;Sell;0.70;AUDCAD.i;0.91485;;0.91362;2025.10.27 03:45:02;0.91356;-4.90;;64.56;[tp]
2025.10.23 15:45:03;Buy;0.70;AUDCAD.i;0.91001;;0.91118;2025.10.23 17:51:12;0.91118;-4.90;;58.56;[tp]
2025.10.23 11:30:00;Sell;0.70;AUDCAD.i;0.91070;;0.90953;2025.10.23 15:20:05;0.90953;-4.90;;58.51;[tp]
2025.10.22 18:00:01;Buy;0.70;AUDCAD.i;0.90860;;0.90979;2025.10.23 10:04:18;0.90980;-4.90;1.70;60.05;[tp]
2025.10.17 15:25:15;Sell;0.70;AUDCAD.i;0.90935;;0.90817;2025.10.22 17:29:19;0.90816;-4.90;-8.03;59.55;[tp]
2025.10.17 14:30:00;Sell;0.70;AUDCAD.i;0.91074;;0.90956;2025.10.17 15:25:15;0.90948;-4.90;;62.81;[tp]
2025.10.17 14:09:54;Buy;0.70;AUDCAD.i;0.91022;;0.91143;2025.10.17 14:15:03;0.91146;-4.90;;61.88;[tp]
2025.10.17 06:30:00;Buy;0.70;AUDCAD.i;0.90878;;0.90997;2025.10.17 14:09:54;0.91005;-4.90;;63.35;[tp]
2025.10.14 22:45:03;Sell;0.70;AUDCAD.i;0.90985;;0.90844;2025.10.17 05:58:27;0.90841;-4.90;-13.63;71.76;[tp]
2025.10.14 20:30:05;Sell;0.70;AUDCAD.i;0.91117;;0.91000;2025.10.14 22:45:02;0.91000;-4.90;;58.33;[tp]
2025.10.14 09:00:00;Buy;0.70;AUDCAD.i;0.90862;;0.90979;2025.10.14 17:41:54;0.90979;-4.90;;58.37;[tp]
2025.10.13 18:45:00;Sell;0.70;AUDCAD.i;0.91414;;0.91291;2025.10.14 06:21:27;0.91287;-4.90;-2.77;63.30;[tp]
2025.10.13 16:15:00;Buy;0.70;AUDCAD.i;0.91284;;0.91402;2025.10.13 18:12:52;0.91403;-4.90;;59.39;[tp]
2025.10.13 05:00:00;Sell;0.70;AUDCAD.i;0.91276;;0.91159;2025.10.13 14:39:55;0.91160;-4.90;;57.98;[tp]
2025.10.13 01:15:01;Buy;0.70;AUDCAD.i;0.91013;;0.91133;2025.10.13 03:51:09;0.91132;-4.90;;59.52;[tp]
2025.10.10 18:45:00;Buy;0.70;AUDCAD.i;0.90990;;0.91110;2025.10.13 01:02:39;0.91112;-4.90;0.53;61.02;[tp]
2025.10.09 18:00:00;Buy;0.70;AUDCAD.i;0.91877;;0.91994;2025.10.10 03:41:02;0.91995;-4.90;0.48;58.91;[tp]
2025.10.09 13:45:00;Sell;0.70;AUDCAD.i;0.91963;;0.91846;2025.10.09 17:34:27;0.91845;-4.90;;59.02;[tp]
2025.10.09 10:15:00;Buy;0.70;AUDCAD.i;0.91866;;0.91985;2025.10.09 13:04:07;0.91987;-4.90;;60.73;[tp]
2025.10.08 01:00:00;Buy;0.70;AUDCAD.i;0.91848;;0.91963;2025.10.09 03:32:24;0.91963;-4.90;1.55;57.71;[tp]
2025.09.30 10:45:00;Sell;0.70;AUDCAD.i;0.91657;;0.91825;2025.10.07 22:10:54;0.91825;-4.90;-19.97;-84.30;[tp]
2025.10.06 16:00:01;Sell;0.70;AUDCAD.i;0.92275;;0.91826;2025.10.07 22:10:53;0.91826;-4.90;-2.80;225.31;[tp]
2025.09.30 06:15:06;Sell;0.70;AUDCAD.i;0.91686;;0.91563;2025.09.30 10:41:54;0.91559;-4.90;;63.85;[tp]
2025.09.25 17:15:03;Buy;0.70;AUDCAD.i;0.91139;;0.91255;2025.09.26 18:12:00;0.91255;-4.90;0.51;58.21;[tp]
2025.09.24 06:30:00;Sell;0.70;AUDCAD.i;0.91600;;0.91481;2025.09.24 15:53:47;0.91482;-4.90;;59.52;[tp]
2025.09.18 17:00:01;Buy;0.60;AUDCAD.i;0.91351;;0.91467;2025.09.24 04:34:39;0.91467;-4.20;2.08;50.27;[tp]
2025.09.18 11:15:01;Sell;0.60;AUDCAD.i;0.91498;;0.91381;2025.09.18 16:25:09;0.91381;-4.20;;50.90;[tp]
2025.09.18 10:15:00;Buy;0.60;AUDCAD.i;0.91400;;0.91521;2025.09.18 10:46:19;0.91524;-4.20;;54.01;[tp]
2025.09.09 13:00:00;Sell;0.60;AUDCAD.i;0.91339;;0.91254;2025.09.18 10:04:27;0.91378;-4.20;-22.47;-16.97;
2025.09.11 19:30:00;Sell;1.20;AUDCAD.i;0.92137;;0.91254;2025.09.18 10:04:26;0.91376;-8.40;-29.03;662.00;
2025.09.08 11:45:01;Sell;0.60;AUDCAD.i;0.90952;;0.91254;2025.09.18 10:04:24;0.91371;-4.20;-24.51;-182.23;
2025.09.08 02:15:00;Buy;0.60;AUDCAD.i;0.90657;;0.90775;2025.09.08 04:53:46;0.90778;-4.20;;52.48;[tp]
2025.09.05 17:30:01;Sell;0.60;AUDCAD.i;0.90748;;0.90631;2025.09.08 01:38:39;0.90631;-4.20;-2.07;50.71;[tp]
2025.09.05 17:15:00;Sell;0.60;AUDCAD.i;0.90876;;0.90760;2025.09.05 17:28:23;0.90760;-4.20;;50.32;[tp]
2025.09.03 13:00:00;Sell;0.60;AUDCAD.i;0.90106;;0.89988;2025.09.04 15:46:32;0.89986;-4.20;-6.60;52.08;[tp]
2025.09.02 18:15:00;Sell;0.60;AUDCAD.i;0.89918;;0.89799;2025.09.03 08:50:04;0.89800;-4.20;-2.29;51.30;[tp]
2025.09.02 15:45:01;Buy;0.60;AUDCAD.i;0.89601;;0.89721;2025.09.02 16:35:17;0.89719;-4.20;;51.30;[tp]
2025.09.02 11:15:02;Buy;0.60;AUDCAD.i;0.89654;;0.89772;2025.09.02 15:04:02;0.89771;-4.20;;50.92;[tp]
2025.08.27 18:45:01;Sell;0.60;AUDCAD.i;0.89757;;0.89639;2025.09.02 10:49:56;0.89637;-4.20;-13.58;52.29;[tp]
2025.08.27 12:30:00;Buy;0.60;AUDCAD.i;0.89630;;0.89747;2025.08.27 18:05:13;0.89748;-4.20;;51.20;[tp]
2025.08.20 18:27:17;Buy;0.60;AUDCAD.i;0.89253;;0.89369;2025.08.22 05:18:03;0.89369;-4.20;1.14;50.04;[tp]
2025.08.20 18:00:00;Buy;0.60;AUDCAD.i;0.89119;;0.89242;2025.08.20 18:27:16;0.89242;-4.20;;53.24;[tp]
2025.08.20 09:15:00;Sell;0.60;AUDCAD.i;0.89362;;0.89244;2025.08.20 11:26:05;0.89244;-4.20;;51.02;[tp]
2025.08.20 06:00:00;Buy;0.50;AUDCAD.i;0.89320;;0.89438;2025.08.20 08:59:16;0.89439;-3.50;;42.90;[tp]
2025.08.15 06:14:54;Balance;;;;;;;;;;0.85;
2025.08.14 17:30:00;Buy;0.50;AUDCAD.i;0.89652;;0.89769;2025.08.15 01:04:29;0.89768;-3.50;0.34;41.99;[tp]
2025.08.12 19:00:00;Sell;0.50;AUDCAD.i;0.89882;;0.89764;2025.08.14 15:30:14;0.89758;-3.50;-7.92;44.94;[tp]
2025.08.07 18:30:00;Buy;0.50;AUDCAD.i;0.89408;;0.89525;2025.08.07 22:40:32;0.89523;-3.50;;41.80;[tp]
2025.08.07 14:15:00;Sell;0.50;AUDCAD.i;0.89570;;0.89451;2025.08.07 17:50:48;0.89451;-3.50;;43.21;[tp]
2025.08.07 11:15:00;Sell;0.50;AUDCAD.i;0.89681;;0.89564;2025.08.07 14:04:11;0.89563;-3.50;;42.98;[tp]
2025.08.04 03:53:49;Sell;0.50;AUDCAD.i;0.89257;;0.89141;2025.08.04 17:55:47;0.89139;-3.50;;42.84;[tp]
2025.08.01 18:15:00;Buy;0.50;AUDCAD.i;0.89140;;0.89258;2025.08.04 03:53:48;0.89258;-3.50;0.49;42.78;[tp]
2025.07.31 14:15:00;Buy;0.50;AUDCAD.i;0.89169;;0.89286;2025.08.01 15:31:09;0.89288;-3.50;0.52;42.97;[tp]
2025.07.31 08:30:00;Sell;0.50;AUDCAD.i;0.89313;;0.89195;2025.07.31 13:31:23;0.89195;-3.50;;42.60;[tp]
2025.07.31 01:00:00;Buy;0.50;AUDCAD.i;0.89053;;0.89173;2025.07.31 04:57:48;0.89175;-3.50;;44.10;[tp]
2025.07.30 22:45:00;Buy;0.50;AUDCAD.i;0.88975;;0.89092;2025.07.30 23:12:08;0.89095;-3.50;;43.35;[tp]
2025.07.23 13:30:04;Sell;0.50;AUDCAD.i;0.89544;;0.89063;2025.07.30 21:49:01;0.89058;-3.50;-14.62;175.80;[tp]
2025.07.22 17:05:57;Sell;0.50;AUDCAD.i;0.89194;;0.89077;2025.07.30 16:56:58;0.89077;-3.50;-16.63;42.35;[tp]
2025.07.22 16:45:00;Sell;0.50;AUDCAD.i;0.89322;;0.89203;2025.07.22 17:05:54;0.89203;-3.50;;43.53;[tp]
2025.07.17 19:08:56;Sell;0.50;AUDCAD.i;0.89187;;0.89070;2025.07.22 10:53:44;0.89069;-3.50;-5.93;43.09;[tp]
2025.07.17 07:46:34;Buy;0.50;AUDCAD.i;0.88995;;0.89113;2025.07.17 18:10:40;0.89114;-3.50;;43.28;[tp]
2025.07.17 06:00:00;Buy;0.50;AUDCAD.i;0.88863;;0.88983;2025.07.17 07:46:34;0.88982;-3.50;;43.38;[tp]
2025.07.09 17:15:00;Sell;0.50;AUDCAD.i;0.89577;;0.89169;2025.07.17 04:30:03;0.89128;-3.50;-20.09;163.80;[tp]
2025.07.08 16:36:51;Sell;0.50;AUDCAD.i;0.89117;;0.89168;2025.07.17 04:30:03;0.89123;-3.50;-21.99;-2.19;[tp]
2025.07.08 09:45:00;Sell;0.50;AUDCAD.i;0.89247;;0.89129;2025.07.08 16:36:50;0.89131;-3.50;;42.41;[tp]
2025.07.08 14:26:58;Balance;;;;;;;;;;-500.00;
2025.07.07 06:15:01;Buy;0.50;AUDCAD.i;0.88850;;0.88965;2025.07.08 03:11:56;0.88966;-3.50;0.48;42.44;[tp]
2025.06.24 01:45:00;Sell;0.40;AUDCAD.i;0.88859;;0.88853;2025.07.07 05:31:12;0.88838;-2.80;-23.45;6.17;[tp]
2025.06.24 09:30:00;Sell;0.40;AUDCAD.i;0.89241;;0.88854;2025.07.07 05:31:10;0.88854;-2.80;-23.45;113.67;[tp]
2025.06.30 08:32:27;Balance;;;;;;;;;;200.00;
2025.06.27 18:05:35;Balance;;;;;;;;;;-200.00;
2025.06.20 19:30:00;Buy;0.40;AUDCAD.i;0.88695;;0.88813;2025.06.24 01:06:14;0.88820;-2.80;0.68;36.40;[tp]
2025.06.20 01:30:02;Sell;0.40;AUDCAD.i;0.88786;;0.88668;2025.06.20 18:56:52;0.88668;-2.80;;34.35;[tp]
2025.06.19 16:00:01;Buy;0.40;AUDCAD.i;0.88646;;0.88764;2025.06.19 20:57:03;0.88766;-2.80;;34.99;[tp]
2025.06.18 09:30:00;Sell;0.40;AUDCAD.i;0.88893;;0.88594;2025.06.19 14:07:16;0.88590;-2.80;-4.92;88.38;[tp]
2025.06.18 01:15:01;Sell;0.40;AUDCAD.i;0.88529;;0.88594;2025.06.19 14:07:16;0.88590;-2.80;-4.92;-17.79;[tp]
2025.06.17 18:15:02;Buy;0.40;AUDCAD.i;0.88489;;0.88606;2025.06.17 23:44:31;0.88606;-2.80;;34.18;[tp]
2025.06.17 13:15:00;Buy;0.40;AUDCAD.i;0.88618;;0.88738;2025.06.17 16:43:18;0.88740;-2.80;;35.93;[tp]
2025.06.17 08:45:00;Sell;0.40;AUDCAD.i;0.88657;;0.88541;2025.06.17 12:57:56;0.88539;-2.80;;34.80;[tp]
2025.06.17 01:00:00;Buy;0.40;AUDCAD.i;0.88608;;0.88726;2025.06.17 08:02:19;0.88726;-2.80;;34.78;[tp]
2025.06.16 17:30:00;Sell;0.40;AUDCAD.i;0.88658;;0.88541;2025.06.16 23:24:59;0.88541;-2.80;;34.48;[tp]
2025.06.16 00:07:41;Buy;0.40;AUDCAD.i;0.88254;;0.88692;2025.06.16 17:02:10;0.88701;-2.80;;131.95;[tp]
2025.06.12 01:15:00;Buy;0.40;AUDCAD.i;0.88894;;0.88693;2025.06.16 17:02:10;0.88701;-2.80;0.64;-56.97;[tp]
2025.06.11 05:15:00;Buy;0.40;AUDCAD.i;0.88985;;0.89099;2025.06.11 07:06:24;0.89103;-2.80;;34.50;[tp]
2025.06.09 05:30:01;Sell;0.40;AUDCAD.i;0.89120;;0.89003;2025.06.11 04:47:24;0.89002;-2.80;-3.26;34.52;[tp]
2025.06.06 06:15:01;Buy;0.40;AUDCAD.i;0.88806;;0.88923;2025.06.06 15:33:52;0.88925;-2.80;;34.83;[tp]
2025.06.05 17:02:05;Sell;0.40;AUDCAD.i;0.88974;;0.88856;2025.06.06 05:01:06;0.88856;-2.80;-1.52;34.54;[tp]
2025.06.05 16:45:00;Sell;0.40;AUDCAD.i;0.89104;;0.88985;2025.06.05 17:02:04;0.88986;-2.80;;34.59;[tp]
2025.06.03 06:15:00;Buy;0.40;AUDCAD.i;0.88841;;0.88957;2025.06.04 15:49:37;0.88956;-2.80;0.34;33.57;[tp]
2025.06.02 18:15:01;Sell;0.40;AUDCAD.i;0.88988;;0.88870;2025.06.03 05:29:25;0.88869;-2.80;-1.79;34.67;[tp]
2025.05.30 10:15:00;Buy;0.40;AUDCAD.i;0.88645;;0.88964;2025.06.02 17:37:30;0.88964;-2.80;0.33;93.16;[tp]
